AmountOfPlay,AuthorID,Collection,Comment,CreationDate,Forwarding,Labels,NumberOfSongs,SongListName,SongsListID,Url
24425912,74029445,616787,2040,2017-07-11,12120,日语 民谣 夜晚 ,72,「日语民谣」月色中的浅吟低唱,806728741,https://music.163.com/playlist?id=806728741
12065735,302227129,138642,434,2017-11-15,2333,民谣 欧美 怀旧 ,99,欧美民谣 I 往昔璀璨如钻 却又锈迹斑斑,997386069,https://music.163.com/playlist?id=997386069
5717124,75179909,142533,1766,2016-05-28,4508,后摇 孤独 器乐 ,300,300支后摇乐队，300种感性共鸣,390783436,https://music.163.com/playlist?id=390783436
31683712,286427520,525324,1669,2018-01-20,15827,古典 下午茶 学习 ,124,古典清香 I 我的茶馆里住着巴赫与肖邦,2065854146,https://music.163.com/playlist?id=2065854146
9406081,122356259,191068,1137,2018-03-03,4225,欧美 酒吧 爵士 ,39,黑胶酒馆|耳畔的浪漫眼中的你,2125737991,https://music.163.com/playlist?id=2125737991
26608472,2928531,588948,1774,2015-01-30,11603,爵士 欧美 酒吧 ,30,小酒馆的微醺需要腔调和情怀,49242031,https://music.163.com/playlist?id=49242031
22314180,129377889,483399,1348,2018-02-05,4916,日语 ACG 治愈 ,123,日系温柔女声| 沐浴在歌声中的暖阳下,2088799380,https://music.163.com/playlist?id=2088799380
52202800,108952364,488590,1023,2018-07-12,5088,华语 流行 民谣 ,99,100首华语民谣，因为懂得才有共鸣,2312165875,https://music.163.com/playlist?id=2312165875
71297,312585551,240,评论,2024-10-06,0,华语 流行 90后 ,183,华语90后经典老歌 | 如昨夜的酒醉前尘的梦,12693537786,https://music.163.com/playlist?id=12693537786
24068,312585551,114,评论,2024-10-08,1,电子 驾车 酒吧 ,105,蹦迪热歌DJ默涵版，劲爆旋律嗨爆全场,12699782127,https://music.163.com/playlist?id=12699782127
889,647695007,9,评论,2024-10-07,0,欧美 流行 下午茶 ,168,「欧美•女声」开口惊艳，入耳沦陷,12699361585,https://music.163.com/playlist?id=12699361585
71999,312585551,268,评论,2024-10-06,0,华语 流行 90后 ,121,「怀旧篇」难以忘记九十年代的味道,12694038404,https://music.163.com/playlist?id=12694038404
2665,3327595269,20,评论,2024-10-10,1,流行 华语 浪漫 ,33,现代情话｜在时光里与浪漫偶遇,12706929392,https://music.163.com/playlist?id=12706929392
184021,107742044,854,评论,2024-07-08,5,华语 翻唱 综艺 ,104,华语顶级live：教科书级别的翻唱,12278858227,https://music.163.com/playlist?id=12278858227
12262,352480133,194,评论,2024-10-02,0,日语 ACG 影视原声 ,76,2024年10月新番/秋季动漫歌曲/更新（十月）,12671725663,https://music.163.com/playlist?id=12671725663
6836395,1882533427,181434,737,2019-06-15,1474,欧美 日语 下午茶 ,265,适合摸鱼画画时听的歌～「日系+欧美」,2844831550,https://music.163.com/playlist?id=2844831550
74502,312585551,252,评论,2024-10-06,0,华语 流行 90后 ,132,华语 | 一人一首成名曲90后难以忘记的时代,12693021709,https://music.163.com/playlist?id=12693021709
782752,5088441805,5742,249,2024-05-18,38,流行 伤感 网络歌曲 ,97,大大怪将军 小小怪真的很想你,10067552910,https://music.163.com/playlist?id=10067552910
7928,7872690377,42,评论,2024-09-09,6,华语 R&B/Soul ,58,合伙人热荐 | 日落的寓意是未完待续,12577693902,https://music.163.com/playlist?id=12577693902
138489,249628889,893,3,2024-03-03,14,华语 流行 R&B/Soul ,72,柔情R&B：沉醉微醺韵律撩拨心弦,9377284526,https://music.163.com/playlist?id=9377284526
36169,1289346856,447,2,2024-09-21,9,欧美 治愈 放松 ,65,『心向原野』人生不是轨道，而是一片原野。,12630574415,https://music.163.com/playlist?id=12630574415
779065,107742044,2545,10,2024-04-09,12,华语 流行 综艺 ,112,神仙舞台名场面！天赐的声音live,9734585629,https://music.163.com/playlist?id=9734585629
75434,312585551,262,评论,2024-10-07,1,华语 流行 80后 ,203,8090后经典老歌300首｜纪念青春岁月,12694396533,https://music.163.com/playlist?id=12694396533
38075,1289346856,470,3,2024-09-24,9,欧美 治愈 放松 ,44,『置身旷野』寂静 幽美 于绿色山谷之间,12642163214,https://music.163.com/playlist?id=12642163214
157901,1661470704,2006,19,2024-11-08,18,影视原声 欧美 英伦 ,40,动画《英雄联盟：双城之战2》第二季/原声带,12834843673,https://music.163.com/playlist?id=12834843673
994340,342371680,9266,37,2023-11-06,104,轻音乐 治愈 安静 ,100,寂静鸣远：治愈纯音 抚慰心绪 净化心灵,8846341333,https://music.163.com/playlist?id=8846341333
50789,312585551,286,1,2024-10-03,2,电子 驾车 性感 ,105,车载旋律dj 抖腿族`节奏控福利,12676872661,https://music.163.com/playlist?id=12676872661
25064,312585551,156,评论,2024-10-02,0,电子 驾车 游戏 ,105,听车载口水旋律嗨曲， 做品质女人,12675689001,https://music.163.com/playlist?id=12675689001
156679,107742044,660,3,2024-09-02,1,华语 流行 综艺 ,119,周深 毛不易 单依纯 张碧晨 郁可唯 任素汐,12548260208,https://music.163.com/playlist?id=12548260208
23128,312585551,138,评论,2024-10-03,0,电子 驾车 性感 ,105,中毒性旋律！心率超速の节奏渲染,12679171717,https://music.163.com/playlist?id=12679171717
1466470,556046321,4682,8,2024-09-06,22,华语 经典 怀旧 ,219,90后回忆杀！这200首老歌每一首都戳中泪点,12564922080,https://music.163.com/playlist?id=12564922080
112554,350048481,510,1,2024-09-08,2,华语 流行 兴奋 ,69,"DJ「车载劲爆,兜风专用,顶 级夜场嗨曲]",12573303801,https://music.163.com/playlist?id=12573303801
653816,107742044,1722,12,2024-07-05,10,华语 流行 综艺 ,87,天赐的声音：开嗓直击心灵！！！,12268029094,https://music.163.com/playlist?id=12268029094
2837,5088441805,19,评论,2024-08-30,0,欧美 流行 榜单 ,132,节奏控·欧美流行｜洗脑神曲 红心安利,12539740529,https://music.163.com/playlist?id=12539740529
229700,342371680,3378,15,2024-02-11,37,欧美 流行 治愈 ,91,寂静鸣远：绿野 清风 平静 惬意 自由,9288016663,https://music.163.com/playlist?id=9288016663
645017,107742044,3138,18,2024-02-22,18,华语 流行 综艺 ,132,单依纯 张碧晨 周深 徐佳莹,9332993088,https://music.163.com/playlist?id=9332993088
44749,468356020,120,1,2024-10-28,0,欧美 流行 快乐 ,48,美式随性｜惬意Chill节奏 感受自由与风,12786600704,https://music.163.com/playlist?id=12786600704
772479,556046321,2215,3,2024-09-08,11,华语 经典 怀旧 ,189,爷青回！90后回忆杀 那些年MP3里的神曲,12573817765,https://music.163.com/playlist?id=12573817765
689264,107742044,2123,18,2024-07-10,7,华语 流行 综艺 ,56,天赐的声音第五季最值得听的TOP30,12291302678,https://music.163.com/playlist?id=12291302678
275023,107742044,927,2,2024-09-15,4,华语 流行 综艺 ,91,神仙嗓音：单依纯 周深 张碧晨 杨宗纬,12601076950,https://music.163.com/playlist?id=12601076950
537888,445189786,2998,121,2024-05-03,32,流行 伤感 网络歌曲 ,113,情绪可以控制但是眼泪不会说谎.,9981784231,https://music.163.com/playlist?id=9981784231
356162,578637984,1476,17,2020-10-08,15,韩语 治愈 放松 ,135,韩语流行｜浪漫放松 治愈歌单,5279262221,https://music.163.com/playlist?id=5279262221
1067567,342371680,5292,33,2024-03-05,66,华语 流行 R&B/Soul ,208,华语R&B：百听不厌的华语节奏布鲁斯,9381079097,https://music.163.com/playlist?id=9381079097
202547,107742044,732,1,2024-09-22,1,华语 流行 感动 ,93,超绝神仙嗓：单依纯 周深 张碧晨 杨宗纬,12633659256,https://music.163.com/playlist?id=12633659256
