AmountOfPlay,AuthorID,Collection,Comment,CreationDate,Forwarding,Labels,NumberOfSongs,SongListName,SongsListID,Url
2462093,6467958021,20907,539,2023-05-15,355,网络歌曲 00后 华语 ,130,小乖 不要总是灰蒙蒙的我想要你快乐 ,8420100031,https://music.163.com/playlist?id=8420100031
82121,541959300,1264,4,2023-12-22,8,古风 器乐 治愈 ,54,古风纯调 | 传统古韵· 中国风轻音乐,9089025317,https://music.163.com/playlist?id=9089025317
2022791,1765686075,23117,401,2023-08-12,348,华语 兴奋 快乐 ,135,改变磁场，吸引好运，绝对玄学,8648855922,https://music.163.com/playlist?id=8648855922
2398241,1650191296,24702,143,2019-04-28,622,欧美 乡村 旅行 ,96,Country | 自驾旅行，赏乡野风情,2774009329,https://music.163.com/playlist?id=2774009329
13405966,2747182,324755,1286,2015-05-06,5634,轻音乐 治愈 感动 ,134,极简主义 | 听见。即诗。,71289185,https://music.163.com/playlist?id=71289185
19050972,118484559,236128,814,2015-12-30,3127,欧美 电子 清新 ,157,【绝美人声+完美电音】，触电节奏一秒倾心~,146852233,https://music.163.com/playlist?id=146852233
472611,1837554382,14069,56,2023-06-10,98,另类/独立 怀旧 ,25,梦核 | 坠入超现实美学的迷幻梦境,8472514942,https://music.163.com/playlist?id=8472514942
9776300,75179909,154030,445,2017-11-20,2232,爵士 放松 轻音乐 ,66,「Jazz Hiphop纯音」被窝里的小咖啡馆,1984018874,https://music.163.com/playlist?id=1984018874
13897356,2683821,490655,2665,2016-05-15,7473,小语种 ACG New Age ,91,「造语歌」穿透灵魂 如唱诗般空灵唯美♪,382291922,https://music.163.com/playlist?id=382291922
4592918,72460701,61162,161,2023-04-24,845,欧美 R&B/Soul 说唱 ,216,「爬墙」旋律/氛围/欧美/R&b/流行/说唱,8377278470,https://music.163.com/playlist?id=8377278470
4183745,33210355,86286,829,2015-06-21,1882,说唱 欧美 经典 ,256,257位西海岸说唱歌手精选,83105064,https://music.163.com/playlist?id=83105064
4849237,392078662,36679,64,2021-09-18,412,欧美 流行 电子 ,224,欧美英文｜旋律 节奏 律动 氛围,6976173486,https://music.163.com/playlist?id=6976173486
6859563,585547926,54479,319,2021-04-05,843,华语 流行 R&B/Soul ,131,华语R&B|和喜欢的人一起听歌就有双倍的快乐,6697491422,https://music.163.com/playlist?id=6697491422
7613428,290212891,51692,102,2023-01-14,424,华语 90后 流行 ,208,华语经典 | 那些属于我们青春的一首歌曲,8055396278,https://music.163.com/playlist?id=8055396278
27297246,256834399,325512,2292,2018-04-10,4523,华语 摇滚 ,385,『国摇』一百支乐队一百种精神信仰,2179431622,https://music.163.com/playlist?id=2179431622
3126352,1957794929,28799,106,2020-02-20,435,轻音乐 放松 钢琴 ,187,浪漫&抒情高氛围感纯音乐|放松 |小提琴,4873710289,https://music.163.com/playlist?id=4873710289
182434,1378486560,1101,3,2022-08-28,15,欧美 清晨 治愈 ,152,神仙嗓音 | 小众温柔的欧美歌,7611305474,https://music.163.com/playlist?id=7611305474
628906,392078662,7465,43,2023-10-21,69,欧美 R&B/Soul 浪漫 ,78,旋律R&B｜微醺 性感 浪漫氛围感,8811546491,https://music.163.com/playlist?id=8811546491
220545,541959300,1999,13,2022-04-27,19,流行 欧美 运动 ,63,欧美 | 拽姐出街·邀你共享辣妹的耳机,7399739396,https://music.163.com/playlist?id=7399739396
3757852,85351650,49726,337,2018-02-08,1283,后摇 另类/独立 夜晚 ,117,人声后摇 I 怎奈何琼夜一嗓伶俜,2093273437,https://music.163.com/playlist?id=2093273437
1200486,53774877,7334,70,2023-11-11,97,欧美 R&B/Soul 浪漫 ,100,慵懒欧美R&B:舒慢溺于沉醉,8856013717,https://music.163.com/playlist?id=8856013717
501316,4000950546,5506,10,2023-10-22,59,R&B/Soul 性感 浪漫 ,233,「PB-R&B 」酒精音乐｜性感的迷离梦幻,8815861304,https://music.163.com/playlist?id=8815861304
1800945,3576759562,8290,26,2022-08-24,120,欧美 电子 驾车 ,197,车载DJ | 车内嗨翻天，车外响遍天,7604782507,https://music.163.com/playlist?id=7604782507
4208091,783819,20231,499,2017-08-27,242,华语 流行 怀旧 ,91,"B面第一首 ""非主打""备胎的忧伤",896260777,https://music.163.com/playlist?id=896260777
5936429,477233246,110939,362,2022-04-08,2442,浪漫 夜晚 欧美 ,289,微醺氛围曲| 浪漫 缠绵 极致欢愉,7371585618,https://music.163.com/playlist?id=7371585618
3065931,530672251,24170,78,2023-09-18,504,榜单 旅行 快乐 ,194,车载DJ|听DJ硬曲过自由人生,8740022393,https://music.163.com/playlist?id=8740022393
3056201,311877725,49041,142,2018-05-14,688,欧美 经典 影视原声 ,50,电影配乐，当优雅华尔兹遇上激情探戈,2226210869,https://music.163.com/playlist?id=2226210869
1049091,286427520,13983,125,2019-07-28,485,欧美 摇滚 ,41,巴洛克流行 I 摇滚和古典的美妙结合,2903676321,https://music.163.com/playlist?id=2903676321
4019059,541959300,35013,127,2018-04-05,310,韩语 流行 快乐 ,189,韩语 | 一秒沦陷·今日心动韩语歌曲已送达,2172020327,https://music.163.com/playlist?id=2172020327
470680,2034261933,1772,17,2022-03-29,8,华语 散步 ,142,顶级献唱丨最不可错过的音乐现场,7355758254,https://music.163.com/playlist?id=7355758254
3722332,1835218812,23537,147,2020-04-27,1426,治愈 伤感 说唱 ,88,你转身向北 侧颜还是很美,4989454204,https://music.163.com/playlist?id=4989454204
3362159,79640896,35008,164,2018-05-06,1145,另类/独立 摇滚 欧美 ,60,『梦幻噪音治愈手册』自赏派编织的斑斓绮梦,2215267824,https://music.163.com/playlist?id=2215267824
5680444,72460701,94171,187,2023-01-05,1106,R&B/Soul ,139,「爬墙」氛围感微醺R&B卧室音乐,8023646590,https://music.163.com/playlist?id=8023646590
4253996,355785139,44962,636,2017-11-16,913,欧美 流行 ,90,只剩1%的电量也要听完的歌,998417689,https://music.163.com/playlist?id=998417689
2780784,39256799,32761,378,2015-05-21,783,小语种 欧美 性感 ,56,【柔情且缠绵】那些迷死人的意大利男人们,74992314,https://music.163.com/playlist?id=74992314
2612680,342371680,61002,230,2023-07-19,617,孤独 轻音乐 古典 ,148,美学纯音：纯粹 寂静 悠远 孤独 深邃,8573117366,https://music.163.com/playlist?id=8573117366
4337814,64272440,64451,247,2017-01-08,1671,轻音乐 器乐 浪漫 ,66,浪漫主义 献给爱与美,563131486,https://music.163.com/playlist?id=563131486
3039748,311877725,51665,420,2017-07-17,1092,欧美 影视原声 经典 ,85,呼喊与细语，欧美古典电影精选,813645724,https://music.163.com/playlist?id=813645724
1290641,280729741,8094,89,2023-04-24,117,欧美 说唱 放松 ,229,欧美说唱 | 百变flow纵享丝滑,8377288379,https://music.163.com/playlist?id=8377288379
4224260,422440514,23241,62,2023-03-19,200,欧美 电子 运动 ,93,欧美/节奏控/健身房充能/超燃,8245679886,https://music.163.com/playlist?id=8245679886
858970,100528112,4304,47,2023-06-25,48,欧美 电子 驾车 ,241,车载DJ丨无拘无束，潇洒自由,8509028101,https://music.163.com/playlist?id=8509028101
858215,346769611,6557,20,2023-05-25,94,欧美 流行 R&B/Soul ,106,『英文R&B』微醺缥游在浪漫时空,8436954261,https://music.163.com/playlist?id=8436954261
797299,6325939830,9751,50,2022-09-24,190,欧美 浪漫 ,183,欧美微醺||小酒馆中浪漫的独舞,7651604465,https://music.163.com/playlist?id=7651604465
42385236,108952364,353232,615,2017-08-25,4736,粤语 流行 怀旧 ,99,粤语女声：永远心仪,893126993,https://music.163.com/playlist?id=893126993
4821449,107879460,80695,375,2018-04-11,1676,日语 怀旧 浪漫 ,58,City pop | 脱丧俱乐部里的复古蜜色,2180830258,https://music.163.com/playlist?id=2180830258
360412,614517058,6747,29,2022-07-03,57,日语 流行 治愈 ,98,超棒的日系组合｜夜鹿 YOASOBI 真夜中,7519341475,https://music.163.com/playlist?id=7519341475
13620073,583471,344469,1213,2013-12-20,9539,轻音乐 安静 放松 ,123,［自然纪］生命之律｜大自然的语言,7005467,https://music.163.com/playlist?id=7005467
609372,107742044,2999,15,2024-01-13,20,华语 R&B/Soul 90后 ,147,陶喆+方大同：不可抵挡的R&B魅力,9142031796,https://music.163.com/playlist?id=9142031796
5398399,610336824,44367,472,2023-02-18,505,欧美 流行 散步 ,62,英文节奏控丨适合驾车时听的轻快旋律,8175961869,https://music.163.com/playlist?id=8175961869
10229781,739256,234830,1015,2014-08-18,5071,爵士 欧美 酒吧 ,42,大师们牛逼轰轰的Swing Jazz,25201357,https://music.163.com/playlist?id=25201357
655333,268698340,12943,204,2020-04-25,110,日语 流行 ,50,献给一个“你未邂逅一个女生”,4987442569,https://music.163.com/playlist?id=4987442569
1311968,536648815,19434,56,2021-08-04,560,欧美 R&B/Soul 放松 ,69,Funk舞厅 · 摇摆于复古派对,6897410885,https://music.163.com/playlist?id=6897410885
3989443,2034261933,22654,255,2022-06-17,309,华语 R&B/Soul ,79,华语R&B丨终是浪漫世界值孤獨,7491779850,https://music.163.com/playlist?id=7491779850
1789148,85351650,22390,213,2016-05-03,604,摇滚 钢琴 流行 ,85,钢琴摇滚 I 浪子赠予诗人的一纸情书,374687888,https://music.163.com/playlist?id=374687888
34593924,67853143,777603,2339,2015-06-24,7698,古风 华语 古典 ,197,【戏腔专题】伶人入画，一生天涯,83942307,https://music.163.com/playlist?id=83942307
2459354,93604915,28127,294,2016-05-08,486,器乐 另类/独立 摇滚 ,132,器乐纯音 | 独立音乐人的无言之声,377539909,https://music.163.com/playlist?id=377539909
9040517,1712259102,62692,506,2023-07-17,580,流行 伤感 夜晚 ,196,旧歌都杀回来了 旧人重逢还会远么.,8563060978,https://music.163.com/playlist?id=8563060978
21586888,74029445,430493,2044,2017-07-21,12227,轻音乐 夜晚 放松 ,163,倾听自然 · 海之遐想,819618896,https://music.163.com/playlist?id=819618896
